Gender ID steps bmi
M 1 15000 16.9
M 2 15000 16.9
M 6 14861 16.8
M 7 14861 16.8
M 8 14699 17.3
M 10 14560 20.5
M 11 14560 20.6
M 13 14560 20.5
M 17 14560 20.4
M 18 14560 20.4
M 19 14560 19.8
M 20 14560 19.7
M 22 14560 19.7
M 24 14560 19.6
M 25 14560 19.6
M 27 14560 19.6
M 29 14560 17.4
M 30 14560 17.4
M 32 14398 20.9
M 37 14398 17.5
M 40 14398 17.1
M 42 14259 21.1
M 43 14259 21.1
M 46 14259 18.9
M 47 14259 17.5
M 49 14259 17.2
M 50 14259 16.7
M 51 14097 21.3
M 52 14097 21.3
M 54 14097 18.6
M 55 14097 18.6
M 57 14097 17.3
M 60 13958 21.4
M 61 13958 21.4
M 66 13958 17.6
M 68 13796 21.6
M 69 13796 21.6
M 71 13796 18.2
M 72 13796 18.2
M 73 13796 18.2
M 74 13796 18.1
M 76 13796 17.7
M 78 13796 17.7
M 82 13657 21.7
M 84 13657 17.7
M 85 13657 17.5
M 87 13495 21.8
M 88 13495 21.8
M 93 13333 21.9
M 94 13333 17.8
M 96 13333 16.9
M 97 13333 16.9
M 99 13333 16.9
M 100 13333 16.8
M 101 13333 16.8
M 103 13333 16.8
M 105 13194 17.8
M 106 13194 17.8
M 107 13194 17.2
M 110 13032 22.2
M 111 13032 17.7
M 115 12894 22.3
M 117 12894 17.8
M 118 12894 17.7
M 120 12894 17.3
M 122 12731 24.8
M 123 12731 24.8
M 124 12731 24.8
M 125 12731 24.8
M 127 12731 23.8
M 128 12731 23.7
M 129 12731 23.7
M 132 12731 22.4
M 133 12731 17.7
M 134 12731 17.4
M 137 12593 25.1
M 139 12593 25.1
M 140 12593 23.3
M 141 12593 23.3
M 142 12593 23.3
M 143 12593 23.3
M 145 12593 22.5
M 148 12593 16.8
M 152 12431 22.9
M 153 12431 22.9
M 154 12431 22.7
M 155 12431 22.7
M 157 12431 17.6
M 158 12431 16.9
M 159 12431 16.9
M 160 12431 16.9
M 161 12292 25.5
M 163 12292 22.7
M 165 12292 17.8
M 166 12292 17.6
M 169 12292 17.6
M 170 12292 17.6
M 171 12292 17.1
M 172 12292 17.0
M 173 12292 17.0
M 178 12130 22.4
