Assembly	L.amet_GCA_000827195.1_Laccaria_amethystina_LaAM-08-1_v1.0_genomic	L.bico_GCF_000143565.1_V1.0_genomic
# contigs (>= 0 bp)	1299	665
# contigs (>= 1000 bp)	1299	665
# contigs (>= 5000 bp)	837	423
# contigs (>= 10000 bp)	654	233
# contigs (>= 25000 bp)	446	146
# contigs (>= 50000 bp)	291	107
Total length (>= 0 bp)	52197432	64877444
Total length (>= 1000 bp)	52197432	64877444
Total length (>= 5000 bp)	51194675	64160456
Total length (>= 10000 bp)	49902869	62659374
Total length (>= 25000 bp)	46469485	61406188
Total length (>= 50000 bp)	40897934	59940820
# contigs	1299	665
Largest contig	841987	3566367
Total length	52197432	64877444
GC (%)	46.90	46.97
N50	120972	784691
N75	61277	399144
L50	111	21
L75	260	49
# N's per 100 kbp	8641.11	9548.21
